# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
14.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
28.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
42.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
56.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
70.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
84.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
98.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
112.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
126.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
140.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
154.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
168.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
182.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
196.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
210.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
224.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
238.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    25.5    25.5     0.0
