# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
13.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
26.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
39.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
52.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
65.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
78.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
91.00000       100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
104.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
117.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
130.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
143.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
156.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
169.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
182.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
195.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
208.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
221.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
234.00000      100.0     0.0    10.0    70.00     0.00   30.00   10.00    38.5    38.5     0.0
