# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000         62.2     0.0    30.0    70.00   124.15     0.0    1.00    37.0    38.2   134.1
32.00000        68.1     0.0    29.5    70.00   124.15     0.0    1.00    37.0    38.2   134.1
64.00000        79.2     0.0    29.0    70.00   124.15     0.0    1.00    37.0    38.2   134.1
96.00000        93.3     0.0    28.5    70.00   124.15     0.0    1.00    37.0    38.2   134.1
128.00000      100.9     0.0    27.9    70.00   124.15     0.0    1.00    37.0    38.2   134.1
160.00000      107.7     0.0    27.4    70.00   124.15     0.0    1.00    37.0    38.2   134.1
192.00000      109.9     0.0    26.9    70.00   124.15     0.0    1.00    37.0    38.2   134.1
224.00000      113.8     0.0    26.4    70.00   124.15     0.0    1.00    37.0    38.2   134.1
256.00000      121.6     0.0    25.9    70.00   124.15     0.0    1.00    37.0    38.2   134.1
288.00000      123.7     0.0    25.4    70.00   124.15     0.0    1.00    37.0    38.2   134.1
320.00000      126.1     0.0    24.9    70.00   124.15     0.0    1.00    37.0    38.2   134.1
352.00000      128.5     0.0    24.4    70.00   124.15     0.0    1.00    37.0    38.2   134.1
384.00000      130.7     0.0    23.8    70.00   124.15     0.0    1.00    37.0    38.2   134.1
416.00000      133.1     0.0    23.3    70.00   124.15     0.0    1.00    37.0    38.2   134.1
448.00000      133.4     0.0    22.8    70.00   124.15     0.0    1.00    37.0    38.2   134.1
480.00000      134.4     0.0    22.3    70.00   124.15     0.0    1.00    37.0    38.2   134.1
512.00000      135.8     0.0    21.8    70.00   124.15     0.0    1.00    37.0    38.2   134.1
544.00000      136.1     0.0    21.3    70.00   124.15     0.0    1.00    37.0    38.2   134.1
576.00000      136.7     0.0    20.8    70.00   124.15     0.0    1.00    37.0    38.2   134.1
608.00000      137.6     0.0    20.3    70.00   124.15     0.0    1.00    37.0    38.2   134.1
640.00000      138.2     0.0    19.7    70.00   124.15     0.0    1.00    37.0    38.2   134.1
672.00000      139.4     0.0    19.2    70.00   124.15     0.0    1.00    37.0    38.2   134.1
704.00000      140.2     0.0    18.7    70.00   124.15     0.0    1.00    37.0    38.2   134.1
736.00000      141.9     0.0    18.2    70.00   124.15     0.0    1.00    37.0    38.2   134.1
768.00000      143.1     0.0    17.7    70.00   124.15     0.0    1.00    37.0    38.2   134.1
800.00000      144.7     0.0    17.2    70.00   124.15     0.0    1.00    37.0    38.2   134.1
832.00000      145.5     0.0    16.7    70.00   124.15     0.0    1.00    37.0    38.2   134.1
864.00000      146.8     0.0    16.2    70.00   124.15     0.0    1.00    37.0    38.2   134.1
896.00000      146.3     0.0    15.6    70.00   124.15     0.0    1.00    37.0    38.2   134.1
928.00000      147.5     0.0    15.1    70.00   124.15     0.0    1.00    37.0    38.2   134.1
960.00000      148.4     0.0    14.6    70.00   124.15     0.0    1.00    37.0    38.2   134.1
992.00000      148.7     0.0    14.1    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1024.00000     148.9     0.0    13.6    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1056.00000     149.2     0.0    13.1    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1088.00000     150.2     0.0    12.6    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1120.00000     149.7     0.0    12.1    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1152.00000     149.0     0.0    11.5    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1184.00000     149.8     0.0    11.0    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1216.00000     149.7     0.0    10.5    70.00   124.15     0.0    1.00    37.0    38.2   134.1
1248.00000     150.8     0.0    10.0    70.00   124.15     0.0    1.00    37.0    38.2   134.1
