# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        200.0     0.0    40.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
32.00000       229.6     0.0    35.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
64.00000       256.4     0.0    31.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
96.00000       278.7     0.0    27.6    50.99   124.15     0.0    1.00    37.0    38.2   134.1
128.00000      296.6     0.0    24.7    50.99   124.15     0.0    1.00    37.0    38.2   134.1
160.00000      310.8     0.0    22.3    50.99   124.15     0.0    1.00    37.0    38.2   134.1
192.00000      322.0     0.0    20.3    50.99   124.15     0.0    1.00    37.0    38.2   134.1
224.00000      330.9     0.0    18.6    50.99   124.15     0.0    1.00    37.0    38.2   134.1
256.00000      338.2     0.0    17.2    50.99   124.15     0.0    1.00    37.0    38.2   134.1
288.00000      344.2     0.0    16.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
320.00000      349.2     0.0    15.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
352.00000      353.4     0.0    14.2    50.99   124.15     0.0    1.00    37.0    38.2   134.1
384.00000      357.0     0.0    13.6    50.99   124.15     0.0    1.00    37.0    38.2   134.1
416.00000      360.0     0.0    13.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
448.00000      362.7     0.0    12.5    50.99   124.15     0.0    1.00    37.0    38.2   134.1
480.00000      365.1     0.0    12.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
512.00000      367.2     0.0    11.7    50.99   124.15     0.0    1.00    37.0    38.2   134.1
544.00000      369.0     0.0    11.5    50.99   124.15     0.0    1.00    37.0    38.2   134.1
576.00000      370.7     0.0    11.2    50.99   124.15     0.0    1.00    37.0    38.2   134.1
608.00000      372.2     0.0    11.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
640.00000      373.5     0.0    10.9    50.99   124.15     0.0    1.00    37.0    38.2   134.1
672.00000      374.8     0.0    10.7    50.99   124.15     0.0    1.00    37.0    38.2   134.1
704.00000      375.9     0.0    10.6    50.99   124.15     0.0    1.00    37.0    38.2   134.1
736.00000      376.9     0.0    10.5    50.99   124.15     0.0    1.00    37.0    38.2   134.1
768.00000      377.8     0.0    10.4    50.99   124.15     0.0    1.00    37.0    38.2   134.1
800.00000      378.7     0.0    10.4    50.99   124.15     0.0    1.00    37.0    38.2   134.1
832.00000      379.5     0.0    10.3    50.99   124.15     0.0    1.00    37.0    38.2   134.1
864.00000      380.3     0.0    10.2    50.99   124.15     0.0    1.00    37.0    38.2   134.1
896.00000      381.0     0.0    10.2    50.99   124.15     0.0    1.00    37.0    38.2   134.1
928.00000      381.6     0.0    10.2    50.99   124.15     0.0    1.00    37.0    38.2   134.1
960.00000      382.2     0.0    10.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
992.00000      382.8     0.0    10.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1024.00000     383.3     0.0    10.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1056.00000     383.8     0.0    10.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1088.00000     384.3     0.0    10.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1120.00000     384.7     0.0    10.1    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1152.00000     385.1     0.0    10.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1184.00000     385.5     0.0    10.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1216.00000     385.9     0.0    10.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
1248.00000     386.3     0.0    10.0    50.99   124.15     0.0    1.00    37.0    38.2   134.1
