# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
20.00000       200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
40.00000       200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
60.00000       200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
80.00000       200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
100.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
120.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
140.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
160.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
180.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
200.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
220.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
240.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
260.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
280.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
300.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
320.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
340.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
360.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
380.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
400.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
420.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
440.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
460.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
480.00000      200.0     0.0    30.0    30.00   100.00    0.00    1.00    25.5    25.5    20.0
