# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000        100.0     0.0    20.0    40.00    80.00    0.00   18.39    25.5    25.5    30.0
20.00000       110.7     0.0    20.0    40.00    80.00    0.00   19.16    25.5    25.5    30.0
40.00000       121.4     0.0    20.0    40.00    80.00    0.00   19.66    25.5    25.5    30.0
60.00000       132.1     0.0    20.0    40.00    80.00    0.00   19.94    25.5    25.5    30.0
80.00000       142.9     0.0    20.0    40.00    80.00    0.00   20.04    25.5    25.5    30.0
100.00000      153.6     0.0    20.0    40.00    80.00    0.00   19.99    25.5    25.5    30.0
120.00000      164.3     0.0    20.0    40.00    80.00    0.00   19.83    25.5    25.5    30.0
140.00000      175.0     0.0    20.0    40.00    80.00    0.00   19.57    25.5    25.5    30.0
160.00000      185.7     0.0    20.0    40.00    80.00    0.00   19.23    25.5    25.5    30.0
180.00000      196.4     0.0    20.0    40.00    80.00    0.00   18.83    25.5    25.5    30.0
200.00000      207.1     0.0    20.0    40.00    80.00    0.00   18.39    25.5    25.5    30.0
220.00000      217.9     0.0    20.0    40.00    80.00    0.00   17.92    25.5    25.5    30.0
240.00000      228.6     0.0    20.0    40.00    80.00    0.00   17.42    25.5    25.5    30.0
260.00000      239.3     0.0    20.0    40.00    80.00    0.00   16.90    25.5    25.5    30.0
280.00000      250.0     0.0    20.0    40.00    80.00    0.00   16.37    25.5    25.5    30.0
